model,samples_per_class,total_samples,training_samples,testing_samples,accuracy,precision,recall,f1_score,roc_auc,training_time,prediction_time,total_time
Classical SVM,50,100,80,20,0.95,1.0,0.9,0.9473684210526316,0.99,0.0364277362823486,0.0011007785797119,37.35309958457947
Quantum QSVC,50,100,80,20,0.8,0.75,0.9,0.8181818181818182,0.94,9.89104413986206,4.679771423339844,58.914798736572266
